Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-12-11 06:44 UTC,N/A,false,N/A,
Laravel 9.0 Essential Training,"<p><b>Suggested prerequisites</b></p>
<ul>
<li>Understanding of HTML</li>
<li>Experience with Core PHP</li>
<li>Familiarity with object-oriented concepts</li>
<li>Understanding of HTTP requests and MVC architecture</li>
</ul>

<p><b>Projects</b></p>
<ul>
<li>Create a note-taking web application with Laravel.</li>
</ul>
<p>Laravel, the open-source PHP web framework, has become one of the most widely used ecosystems for building scalable apps at lightning-quick speed. If you’re a PHP developer looking to take your career to the next level, this course was made for you. Join instructor Shruti Balasa as she takes you on a journey through the fundamentals of the Laravel framework.</p>",Course,2022-06-03 04:20 UTC,N/A,false,N/A,
Learning Java 11,"Java is one of the top five programming languages, and is used for websites, embedded controllers, and Android app development. Interested in learning how to code with Java? Join instructor Kathryn Hodge as she helps you get up and running with this popular language. Kathryn covers all the basics: Data types, strings, functions, and loops. She helps you control the flow and logic of your code, and debug your project to make sure it runs perfectly. Along the way, she provides real-world examples and introduces challenges that allow you to practice your new skills. This course is perfect for developers who need to get up to speed with Java fast, as well as for beginning programmers who want their first taste of this popular language.",Course,2022-04-25 04:40 UTC,N/A,false,N/A,
Java 11+ Essential Training,"If you want to build applications for mobile devices, desktop computers, or the web, you need to know Java. This course provides the foundation for learning how to program with the most recent Long-Term Support (LTS) release, Java SE 11, and more recent versions. David Gassner shows how to install Java and the IntelliJ IDEA Community Edition IDE and start working with variables, data types, and other critical language components. He also helps you control program flow with conditional logic and loops, store data with Java collections, and understand how Java implements object-oriented coding principles such as inheritance.",Course,2022-04-25 04:41 UTC,N/A,false,N/A,
SQL Essential Training (2019),"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2022-08-10 10:30 UTC,N/A,false,N/A,
Getting Started with Python for Finance,"<p>Python has quickly become one of the most popular and widely used programming languages in the world. And if you work in finance and analyze the stock market or other financial instruments, you need to stay up to date with the most important analytic tools. Join instructor Matt Harrison to get up and running with Python, in this course designed uniquely for financial analysis.</p><p>Learn how to implement the best practices for loading data and visualizations, performing calculations, ingesting and preparing financial data, coding technical analysis signals, and more. Along the way, test out your new skills in the challenges and coding exercises at the end of each section. Upon completing this course, you’ll be ready to start leveraging the power of Python to optimize your financial analysis workflow.</p>",Course,2023-05-12 14:24 UTC,N/A,false,N/A,
"Learning Full-Stack JavaScript Development: MongoDB, Node, and React","Learn by doing! Learn full-stack JavaScript development by building a web application with MongoDB, Node.js, and React.js.

Learn how to use Node as a web server and an API server, how to consume data and build user interfaces with React, and how to read and write data with a MongoDB database. React allows you to build full-featured, data-driven applications faster and more efficiently than what is possible with JavaScript alone.

Samer Buna introduces modern JavaScript programming concepts, with an emphasis on functional methods and open-source tools. The lessons are almost completely hands-on, with live coding demonstrations that bring the concepts home.",Course,2023-03-03 22:48 UTC,N/A,false,N/A,
Mastering Web Developer Interview Code (2017),"Whether you're actively looking for a new job, or you just want to keep your coding skills sharp, it's important to refresh your understanding of the kinds of front-end and full-stack developer code that potential employers value. In this series, senior staff author Ray Villalobos explores essential coding skills that every developer should have in their toolkit. In addition to taking you through a series of brief, practical exercises, this course includes interviews with hiring managers and industry professionals that can help demystify the interview process for web developers, and provide you with examples of how others in the field have navigated their careers.",Course,2020-12-23 17:36 UTC,N/A,false,N/A,
Making Sense of the CSS Box Model,"Based on old-school typography blocks, the CSS box model is the key to modern web design. Once you master it, you can build any layout you want—and troubleshoot most of the common CSS alignment and positioning woes. In this course, Morten Rand-Hendriksen offers a ""four course meal"" approach to the CSS box model, breaking it down into easily digestible chunks. He covers techniques such as styling text and images, floating content, using display properties, and positioning elements. He also explores the brave new world of modern layout modules, discussing Float, Flex, and Grid and how they can work together. Each lesson is supported by real-world demonstrations of the concepts in action, and Morten closes with a ""nightcap"" that will get you thinking about going further with CSS.",Course,2020-12-04 01:07 UTC,N/A,false,N/A,
Learn Apache Kafka for Beginners,"Kafka is the leading open-source, enterprise-scale data streaming technology. It helps you move your data where you need it, in real time, reducing the headaches that come with integrations between multiple source and target systems. This training course helps you get started with all the fundamental Kafka operations, explore the Kafka CLI and APIs, and perform key tasks like building your own producers and consumers. Learn how to start a personal Kafka cluster on Mac, Windows, or Linux; master fundamental concepts including topics, partitions, brokers, producers, and consumers; and start writing, storing, and reading data with producers, topics, and consumers. Instructor Stephane Maarek includes practical use cases and examples, such as consuming data from sources like Wikipedia and Elasticsearch, that feature real-world architecture and production deployments. Stephane finishes the course with a look at some advanced topics, like log cleanup policies and Large messages in Kafka.",Course,2023-09-19 06:50 UTC,N/A,false,N/A,
Learning Chrome Web Developer Tools,"All major browsers offer tools to examine the code of a webpage or app and evaluate its performance. Chrome Developer Tools (DevTools) is the industry standard. In this course, you can explore how Chrome DevTools work in actual testing and debugging scenarios and how you can add this useful collection of utilities to your development workflow. Each chapter digs into a different tool, including the Console, Elements, Network, and Application panels. Instructor Sasha Vodnik helps you test webpages and apps in different device modes and emulators, explore the DOM, inspect and modify HTML and CSS, edit source files, identify bottlenecks in page loads, access and manipulate cookies, and more. Plus, learn useful tricks and shortcuts for speeding up common debugging tasks.",Course,2021-01-10 15:20 UTC,N/A,false,N/A,
Python vs. JavaScript for Development,"Python and JavaScript are two of the most popular programming languages used by developers, analysts, and data scientists alike. But how do you know which language to use for specific projects or tasks? In this course, longtime instructor and software engineer Julie Nisbet answers this question and provides you with the tools you need to decide between these languages when approaching different projects. Julie starts by exploring the history of each language and how they operate. She then discusses key considerations when picking between each language for a project or task. Julie continues by reviewing key differences between the two programming languages, and closes by exploring various use cases for Python and JavaScript. Upon completing this course, you'll feel prepared to determine whether Python or JavaScript is best for you based on the project at hand.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2024-01-15 11:02 UTC,N/A,false,N/A,
React: Design Patterns,"If you’ve learned the basics of React and have worked on many React applications, chances are you’ve run into some recurring problems and situations, like creating reusable layouts or working with forms. If you’ve been on the hunt for solutions to common problems, look no further than this course with Shaun Wassell, where he covers many of the most useful design patterns—effective and repeatable solutions to common application development challenges. This course consists of several sections, each of which will cover a group of React design patterns, ranging from preferred syntax for specific tasks to how to arrange components in the most effective way. Among the topics Shaun covers are composition, higher-order components, state hoisting, controlled vs. uncontrolled components, and many other patterns that help a React app develop into a well-organized codebase.",Course,2023-01-16 15:13 UTC,N/A,true,N/A,
CSS: Display,"Every CSS layout relies on the display property to tell it basic rules for how to present content. In this course, instructor Jen Kramer explains why the display property is so important and walks you through basic display values and newer display values that you need to understand to make effective use of this property. Jen discusses inline-level elements and the inline display value. She covers block-level elements, the block display value, and how to nest inline and block elements in HTML. Jen describes how to use “display: none” and “visibility: hidden” to hide content. Then she goes into newer display values, such as inline flex and grid values, the flow-root property, inline-block, tables, and list items. Jen concludes with recommendations on further HTM and CSS learning.",Course,2021-03-29 03:09 UTC,N/A,false,N/A,
React.js Essential Training,"Among all other JavaScript libraries, React.js stands out. It relies on reusable components, not templates, for UI development, allowing developers to render views where data changes over time. React applications are more scalable and more maintainable, making developers more efficient and users more satisfied. In this course, Eve Porcello introduces the basics of the React library using the most modern syntax and best practices for creating React components. Along the way, learn how to set up Chrome tools for React; create new components; work with the built-in Hooks in React; use the Create React App to run tests, and more. By the end of the course, you'll be armed with the essentials of React.js and better prepared to build your own browser-based projects.",Course,2023-09-19 06:44 UTC,N/A,true,N/A,
TypeScript Essential Training,"TypeScript lets you write JavaScript the same way you always do. That’s because TypeScript compiles to plain JavaScript and works with any browser, any host, and any operating system. It adds a variety of helpful tools and syntax to an already mature language, bringing the power and productivity of open-source, object-oriented development to fully compatible, core JavaScript.<br><br>In this course, Jess Chadwick teaches you how to leverage the full power of the TypeScript language in your JavaScript applications. Revisit some of the JavaScript fundamentals before turning to the data types, classes, generics, modules, and decorators that are unique to TypeScript. Get tips on defining complex types, extending and extracting metadata from existing types, and working with JavaScript modules to make your code more efficient. You can even try out your new TypeScript skills with the practice challenges along the way.",Course,N/A,N/A,true,N/A,
Getting Your First Job in Software Development,"Technology seems like a safe harbor in a stormy economy. Instructor Ray Villalobos answers the most common questions people have about how to look for, find, and get your first job in software development, and helps you build a solid plan for career success. Ray outlines what skills you need to learn, what to do if you’re switching careers, and how to get experience. He discusses how to use networking to create shortcuts for yourself. He also goes over the importance of internships and where to find a job. Ray walks you through the job application process, including how to optimize your profile, prove you can do the job, and prepare for a first phone call screening. Learn how to make it past the screening phase, as well as how to leverage subject matter experts to get prepared for a technical or coding interview. And, for when a successful interviewing process leads to a job offer, Ray shares some steps you should take to decide if the offer is right for you and ways to get your career off to a healthy start.",Course,2021-12-31 17:49 UTC,N/A,false,N/A,
Practical Engineering,"Engineering involves a lot of theory. But we don't always get to see it in practice. This series teaches fundamental principles that all civil and mechanical engineers need to know, alongside demonstrations that show how they really work. Using everything from desktop models predicting the movement of groundwater to hand-built examples of mechanically stabilized earth, instructor Grady Hillhouse explains how engineering concepts become real. Every month, he introduces an important new topic that will improve your understanding of essential engineering principles, including force, strength, tension, compression, and more, and help you find better solutions to common design challenges.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2022-10-28 14:30 UTC,N/A,false,N/A,
Learning React.js,"React.js is designed to make the process of building modular, reusable user interface components simple and intuitive. In this course, Eve Porcello guides you through the foundations of React development, including the use of React hooks—a new feature starting in React 16.8 that allows developers to add functionality to components without writing classes. Eve shows how to create components, display dynamic data with properties, and render components using JSX syntax.  Eve also manages the state of components with hooks; uses powerful React enhancements, such as the useEffect hook for loading remote data; and leverages cloud deployment options for apps created with create-react-app.<br><br>
 
This course was created by Eve Porcello. We are pleased to offer this training in our library.",Course,2020-12-04 01:06 UTC,N/A,false,N/A,
Using SQL with Python,"Are you familiar with SQL? Do you know Python? Are you interested in understanding how these two languages work together? Then join Bill Weinman in this course as he shows the power of these two languages combined. Bill starts with some basics—connecting to a database, performing simple queries, and reading rows from a table. He covers how to use prepared statements and cursors, how to build a wrapper class to streamline the SQL interface and support multiple different database engines, and how to build a CRUD class and a full-featured web application using what you've learned. Many applications require a combination of SQL and Python, and after finishing Bill’s course, you’ll have a better understanding of why and how you can leverage the power of these two languages together.",Course,2023-04-29 15:42 UTC,N/A,false,N/A,
Figma for UX Research: Presentations that Stand Out,"You don’t have to be a graphic designer to make presentations that leave a mark. Figma—the collaborative, web-based design tool—lets you visualize UX research findings as custom slides to share with your team. Join instructor and UX researcher Eric Nordquist as he shows you the basics of using Figma to create presentations and data visualizations that make a lasting impression on your stakeholders.<br><br>Get an overview of the Figma environment so you can start working on your first project. Learn how to create appealing title slides and openings, agenda slides and TOC applications, UX methodology slides, data visualizations, and participant demographics with built-in tools. Eric gives you pointers on best practices for visualizing both qualitative and quantitative data, as well as tips on final touches to make your slides really shine on screen.",Course,2022-11-20 12:10 UTC,N/A,false,N/A,
Django: Forms,"Most websites require the use of forms to receive data from users, so it is crucial to know how to safely collect and handle data while maintaining a user-friendly experience on your website. In this course, learn how to use Django to create forms from scratch. Instructor Nick Walter also explains how to deploy forms to your site, access stored data, leverage submitted form data, work with widgets, customize formsets, and more.",Course,2021-04-16 02:59 UTC,N/A,false,N/A,
JavaScript Essential Training (2017),"JavaScript is a scripting language of the web. As the web evolves from a static to a dynamic environment, technology focus is shifting from static markup and styling—frequently handled by content management systems or automated scripts—to dynamic interfaces and advanced interaction. Once seen as optional, JavaScript is now becoming an integral part of the web, infusing every layer with its script.
<br><br>Through practical examples and mini-projects, this course helps you build your understanding of JavaScript piece by piece, from core principles like variables, data types, conditionals, and functions through advanced topics including loops, closures, and DOM scripting. Along the way, you will also be introduced to some ES6 and the basics of JavaScript libraries.",Course,2021-02-03 06:16 UTC,N/A,false,N/A,
Spring Boot 2.0 Essential Training,"Learn how to get started with Spring Boot 2.x, a powerful framework that can help you build web applications quickly, using less code. The Java-based programs you build in Spring Boot ""just run"": they resolve their own dependencies and create containers for running code in any environment. Learn how to use Spring Boot to build your projects in this course with software architect and Spring developer Frank Moley. Frank shows how to initialize, containerize, and run Spring Boot web apps and CLI apps, and use the library of common starter projects to fill business-critical needs: data, messaging, security, and more. Plus, find how to extend Spring Boot by creating your own starters and use the Actuator module's HTTP endpoints to monitor and manage your apps.",Course,N/A,N/A,true,N/A,
Learning Docker,"<p>Applications working on one machine but not others is a common problem in software development.  Configuration management tools and virtual machines are common solutions, but can be cumbersome and more complicated than necessary for developers who just want their code to run in other places safely. 
</p><P>
Docker, an open-source containerization platform, simplifies the deployment and management of your applications by packaging your apps into images that run in containers—standardized executable components combining application source code with the operating system libraries and dependencies required to run that code in any environment. In this course, software engineer Carlos Nunez introduces the basics of Docker, including its containers, Dockerfiles (or base images), and capabilities. Watch and learn how to build your own containers.",Course,2023-09-26 06:17 UTC,N/A,false,N/A,
React for Web Designers,"You don't have to start from scratch with React. This super popular JavaScript framework can make your existing websites and apps even better, with very little overhead. In this course, learn practical ways to incorporate React in real-world web designs. Instructor Joe Chellman introduces three small projects that benefit from React: a product manager that showcases React state, props, and events; an employee directory; and a status board that uses React to make external API calls. Each project demonstrates what makes React most interesting and useful to web designers and provides solutions for dealing with the few unique challenges.",Course,2021-06-07 17:54 UTC,N/A,false,N/A,
Learning Kubernetes,"<p><b>Prerequisites</b></p>
<ul>
<li>Access to a text editor like Visual Studio Code</li> 
<li>Use of a terminal app to run simple Unix commands</li> 
<li>High-level understanding of container technology</li>
</ul>
<p>Get the foundational knowledge you need to embark on your first voyage with Kubernetes, the world's most popular open-source container orchestration engine. Instructor Kim Schlesinger demonstrates how to create a Kubernetes cluster with Minikube, deploy a containerized application, and manage that application using Kubernetes. Along the way, she guides you through exercises that provide you with hands-on experience.</p>",Course,N/A,N/A,true,N/A,
Data Engineering with AWS Part 1,"<p><b>Project</b></p>
<ul>
<li>Create and configure an Amazon S3 bucket to securely store data and trigger notifications to perform actions.</li>
</ul>
<p>Get an introduction to the field of data engineering and why it’s so important in today’s business world. Explore data types, data lakes, data sources, and how to use built-in AWS components such as DynamoDB, Kinesis, and S3 to store and manage your streams. Find out how to leverage the full power of an end-to-end data engineering pipeline, from selecting and configuring ingestion patterns, to storing data for analytic processing with S3. Test your new skills along the way in the hands-on data challenges.</p>",Course,2022-11-05 00:50 UTC,N/A,false,N/A,
JavaScript Code Challenges,"Want to put your JavaScript skills to the test? Welcome to <i>JavaScript Code Challenges</i>! Join instructor Emma Bostian as she serves up over a dozen JavaScript tasks and walks through the solutions for each. Emma frames each challenge using real-world examples, like setting up a ticking clock in a document, filtering vegetarian dinner options from a menu, and calculating the bill from a trip to a coffee shop. Each challenge is self-contained, so you can watch them in any order, and most solutions are less than two dozen lines of code, so you can quickly learn what you need and move on to the next lesson. Whether you want to learn new ways to use JavaScript or test your existing knowledge, this course can help you sharpen your skills.",Course,2021-04-05 06:40 UTC,N/A,false,N/A,
Node.js: Testing and Code Quality,"Most software engineers would agree that clean code is easier to maintain than messy code, but what exactly does that look like, and how do go about cleaning up messy code? In this course, Jon Peck shows how to measure quality, implement testing, and measure code coverage in your Node.js apps, using a complete but buggy restaurant booking application to illustrate the concepts. Jon first reviews JavaScript fundamentals and testing and code quality concepts. He then explains how to use linters to find suspicious code; explores different testing frameworks and their components; and shows how to isolate your code for testing using test doubles, then verify with spies and mocks. Jon wraps up the course by showing how to generate reports on code health across your entire codebase. Along the way, he provides challenge and solution videos so you can test your knowledge of each section before moving on.",Course,2022-05-18 16:23 UTC,N/A,false,N/A,
Python Data Structures:  Trees,"What are trees, in Python, and how do they fit in with other data structures such as linked lists and graphs? In this course, instructor Ryan Mitchell discusses binary search trees (BSTs) and what you can do with them in a real-world context. Ryan shows you how to build a basic tree with just a few lines of Python. She steps through how to search and traverse a tree, as well as how to print a tree to a terminal. Ryan explains how to add nodes to your tree, delete them, and detect unbalanced trees. When you find an unbalanced tree, it’s important to rebalance it. Ryan walks you through rebalancing four types of unbalanced trees. She concludes with a challenge that features smarter automated rebalancing.",Course,2023-09-19 06:50 UTC,N/A,false,N/A,
Learning C#,"The C# language got its start on Windows, but today you can find it almost everywhere.  Whether it’s running on the cloud, to desktops with MacOS and Linux, to mobile operating systems like Android and iOS, C# has grown into a mature, powerful language for almost any programming purpose.
In this course, Joe Marini dives into the fundamentals of C#, starting with a basic overview of language constructs like program flow and data types. He then gets into more advance topics such as functions, object-oriented programming techniques, and string processing. After this course, you’ll have a better understanding of C#, and how its combination of power, simplicity, and expressiveness make it an extremely versatile programming language that can be used for almost any scenario.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,N/A,N/A,true,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2023-03-17 09:24 UTC,N/A,false,N/A,
Introduction to Career Skills in Software Development,"Are you ready to take the first step on your journey as a computer programmer? Maybe you want to land a new job or change careers to a different industry. Whatever your goals, you don’t need a tech background to get started with programming today. In this course, instructor Annyce Davis gives you a comprehensive, behind-the-scenes look at what it’s really like to be a programmer, from basic concepts and core professional skills, to landing your first role and advancing your career.<br><br>Discover the power of computing in projects and technical roles, as you prepare for the Microsoft GSI Programming Foundations certificate exam. Learn about a week in the life of a programmer working in software development. Explore tools of the trade and various programming languages with a crash course in Python, the object-oriented programming language that’s beginner-friendly and easy to use. Upon completing this course, you’ll be ready to rewrite your resume and kick off your job hunt today.",Course,2022-12-23 08:32 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2023-01-26 09:01 UTC,N/A,false,N/A,
React: State Management (2019),"Choosing the right state management solution can be tricky. Developers need to evaluate a variety of options—each with their own trade-offs—and select the right approach for their needs. In this course, instructor Sravanti Tekumalla helps you navigate this process, exploring the guiding principles behind state management for React applications. Sravanti digs into various state management solutions, as well as common issues you may encounter as your React application grows more complex. Throughout the course, she lends these concepts a real-world context by showing how to modify a simple book application. She also covers how to integrate React with state management systems like Redux and explores alternatives to Redux, such as MobX, and why they might be appealing.",Course,2021-11-27 19:26 UTC,N/A,false,N/A,
JavaScript Essential Training,"JavaScript is a scripting language of the web. As the web evolves from a static to a dynamic environment, technology focus is shifting from static markup and styling to dynamic interfaces and advanced interaction. Once seen as optional, JavaScript is now becoming an integral part of the web, infusing every layer with its script.</p><p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills. Instructor Morten Rand-Hendriksen helps you build your understanding of JavaScript piece by piece, from core principles like variables, data types, conditionals, and functions through advanced topics including loops, and DOM scripting. </p>",Course,N/A,N/A,true,N/A,
Interactive Animations with CSS and JavaScript,"In a world without Flash, mixed-mode animation is a powerful tool for web designers. This course shows how to choose the correct mix of HTML, JavaScript, CSS, and other assets to deliver polished web-based animations that look great on everything from flat-screen televisions to smartphones. Instructor W. Scott Means focuses on how CSS animations, JavaScript, and SVG can be used to produce sophisticated effects while keeping code complexity to a minimum. As he steps through how to build a dynamic presentation, he covers storyboarding, HTML5 custom elements, working with SVG, DOM manipulation, and more.",Course,2021-03-20 02:20 UTC,N/A,false,N/A,
